Stock,Algorithm,Estimators,Depth,No_of_features,Model_Score,Future_day,Our_test_score
AEM,ZR,0,0,0,0,10,8
AEM,RF,10,20,20,0.8655980271270037,20,20
AEM,ZR,0,0,0,0,20,18
AEM,RF,10,50,20,0.9021065675340768,30,18
AEM,ZR,0,0,0,0,30,30
AEM,RF,10,10,20,0.9066002490660025,40,17
AEM,ZR,0,0,0,0,40,40
AEM,RF,40,50,20,0.9486858573216521,50,31
AEM,ZR,0,0,0,0,50,50
AEM,RF,20,10,20,0.9157232704402516,60,23
AEM,ZR,0,0,0,0,60,60
AKR,RF,10,40,20,0.837037037037037,10,8
AKR,ZR,0,0,0,0,10,6
AKR,RF,20,50,20,0.892059553349876,20,18
AKR,ZR,0,0,0,0,20,11
AKR,RF,10,20,20,0.8952618453865336,30,21
AKR,ZR,0,0,0,0,30,15
AKR,RF,30,40,20,0.924812030075188,40,30
AKR,ZR,0,0,0,0,40,18
AKR,RF,10,50,20,0.9370277078085643,50,39
AKR,ZR,0,0,0,0,50,14
AKR,RF,10,50,20,0.9430379746835443,60,47
AKR,ZR,0,0,0,0,60,27
AKR,RF,10,20,20,0.9440203562340967,70,60
AKR,ZR,0,0,0,0,70,37
AHT,RF,30,30,20,0.8733766233766234,10,10
AHT,ZR,0,0,0,0,10,5
AHT,RF,10,20,20,0.8872549019607843,20,13
AHT,ZR,0,0,0,0,20,12
AHT,RF,10,20,20,0.9177631578947368,30,21
AHT,ZR,0,0,0,0,30,19
AHT,RF,20,20,20,0.9288079470198676,40,12
AHT,ZR,0,0,0,0,40,8
AHT,RF,10,30,20,0.9233333333333333,50,17
AHT,ZR,0,0,0,0,50,4
AHT,RF,10,30,20,0.9429530201342282,60,43
AHT,ZR,0,0,0,0,60,0
AHT,RF,20,30,20,0.9358108108108109,70,40
AHT,ZR,0,0,0,0,70,0
AHT,RF,10,20,20,0.9574829931972789,80,19
AHT,ZR,0,0,0,0,80,7
AHT,RF,10,30,20,0.9571917808219178,90,22
AHT,ZR,0,0,0,0,90,18
ABR,RF,10,10,20,0.8256410256410256,10,9
ABR,ZR,0,0,0,0,10,7
ABR,RF,10,20,20,0.9311531841652324,20,19
ABR,ZR,0,0,0,0,20,19
ABR,RF,10,50,20,0.9358752166377816,30,25
ABR,ZR,0,0,0,0,30,27
ABR,RF,30,20,20,0.9389179755671903,40,37
ABR,ZR,0,0,0,0,40,24
ABR,RF,50,50,20,0.961335676625659,50,46
ABR,ZR,0,0,0,0,50,21
