Stock,Algorithm,Estimators,Depth,Distance_function,No_of_features,Model_Score,Future_day,C,degree,No_of_neighbors,Our_test_score
 CWEN,KNN,-1,-1,euclidean,11,0.6256684491978609,10,-1,-1,-1,3
 CWEN,RF,10,20,0,-1,0.441340782122905,20,-1,-1,-1,8
 CWEN,SVM,-1,-1,poly,-1,0.4245810055865922,20,5,2,-1,15
 CWEN,KNN,-1,-1,canberra,11,0.43575418994413406,20,-1,-1,-1,13
 CWEN,RF,10,10,0,-1,0.5555555555555556,30,-1,-1,-1,12
 CWEN,SVM,-1,-1,poly,-1,0.5789473684210527,30,1,4,-1,12
 CWEN,KNN,-1,-1,euclidean,11,0.5555555555555556,30,-1,-1,-1,12
 CWEN,RF,40,20,0,-1,0.6012269938650306,40,-1,-1,-1,23
 CWEN,SVM,-1,-1,poly,-1,0.5828220858895705,40,10,3,-1,23
 CWEN,KNN,-1,-1,chebyshev,11,0.5766871165644172,40,-1,-1,-1,19
 CWEN,RF,10,10,0,-1,0.6,50,-1,-1,-1,18
 CWEN,SVM,-1,-1,linear,-1,0.6129032258064516,50,0.5,1,-1,8
 CWEN,KNN,-1,-1,chebyshev,11,0.5741935483870968,50,-1,-1,-1,12
 CWEN,RF,50,30,0,-1,0.6054421768707483,60,-1,-1,-1,14
 CWEN,SVM,-1,-1,poly,-1,0.6190476190476191,60,1,4,-1,4
 CWEN,KNN,-1,-1,euclidean,11,0.54421768707483,60,-1,-1,-1,17
 CWEN,RF,50,20,0,-1,0.5971223021582733,70,-1,-1,-1,13
 CWEN,SVM,-1,-1,linear,-1,0.6402877697841727,70,0.5,1,-1,9
 CWEN,KNN,-1,-1,euclidean,11,0.6187050359712231,70,-1,-1,-1,18
 CWEN,RF,20,50,0,-1,0.6564885496183206,80,-1,-1,-1,54
 CWEN,SVM,-1,-1,poly,-1,0.6259541984732825,80,5,4,-1,49
 CWEN,KNN,-1,-1,euclidean,11,0.6106870229007634,80,-1,-1,-1,49
 CWEN,RF,10,40,0,-1,0.5934959349593496,90,-1,-1,-1,78
