Stock,Algorithm,Estimators,Depth,Metric,No_of_features,Model_Score,Future_day,Our_test_score
 BBF,KNN,0,0,canberra,0,0.6478454680534919,60,19
 BBX,KNN,0,0,euclidean,0,0.6639784946236559,60,37
 AVY,KNN,0,0,manhattan,0,0.6342412451361867,60,38
 BCE,KNN,0,0,chebyshev,0,0.5836575875486382,60,36
 BBY,KNN,0,0,manhattan,0,0.6614785992217899,60,33
 AXE,KNN,0,0,hamming,0,0.4889753566796368,60,37
 BDC,KNN,0,0,manhattan,0,0.6511024643320363,60,41
 BBF,KNN,0,0,canberra,0,0.7112781954887218,70,41
 BBX,KNN,0,0,hamming,0,0.5461956521739131,70,43
 AVY,KNN,0,0,chebyshev,0,0.6212319790301442,70,37
 BBY,KNN,0,0,chebyshev,0,0.5858453473132372,70,40
 BCE,KNN,0,0,hamming,0,0.508519003931848,70,59
 AXE,KNN,0,0,canberra,0,0.6802096985583224,70,30
 BDC,KNN,0,0,chebyshev,0,0.6133682830930537,70,48
 BBF,KNN,0,0,chebyshev,0,0.6377473363774734,80,50
 BBX,KNN,0,0,hamming,0,0.5892857142857143,80,49
 AVY,KNN,0,0,hamming,0,0.5403973509933775,80,50
 BCE,KNN,0,0,canberra,0,0.686092715231788,80,44
 AXE,KNN,0,0,chebyshev,0,0.6211920529801325,80,50
 BBY,KNN,0,0,braycurtis,0,0.6251655629139072,80,48
 BDC,KNN,0,0,euclidean,0,0.6423841059602649,80,50
 BBF,KNN,0,0,manhattan,0,0.7164869029275809,90,68
 BBX,KNN,0,0,euclidean,0,0.6041666666666666,90,48
 AVY,KNN,0,0,manhattan,0,0.6854082998661312,90,61
 BCE,KNN,0,0,manhattan,0,0.6867469879518072,90,24
 BBY,KNN,0,0,canberra,0,0.6479250334672021,90,62
 AXE,KNN,0,0,canberra,0,0.7108433734939759,90,57
 BDC,KNN,0,0,chebyshev,0,0.6157965194109772,90,52
 BBF,KNN,0,0,euclidean,0,0.6599063962558502,100,62
 BBX,KNN,0,0,hamming,0,0.5533707865168539,100,60
 AVY,KNN,0,0,manhattan,0,0.6657645466847091,100,57
 BBY,KNN,0,0,canberra,0,0.6495263870094723,100,69
 BCE,KNN,0,0,hamming,0,0.5331529093369418,100,16
 AXE,KNN,0,0,canberra,0,0.706359945872801,100,64
 BDC,KNN,0,0,manhattan,0,0.6414073071718539,100,62
 BGX,KNN,0,0,chebyshev,0,0.9739130434782609,10,10
 BIP,KNN,0,0,hamming,0,0.6997455470737913,10,10
 BFO,KNN,0,0,hamming,0,0.9663299663299664,10,10
 BFS,KNN,0,0,canberra,0,0.6325524044389642,10,7
