Stock,Algorithm,Estimators,Depth,Distance_function,No_of_features,Model_Score,Future_day,C,degree,No_of_neighbors,Our_test_score
 LAZ,KNN,-1,-1,braycurtis,12.0,0.6378539493293591,20,-1.0,-1.0,9.0,18.0
 LAZ,SVM,-1,-1,linear,19.0,0.5399698340874811,30,100.0,1.0,-1.0,21.0
 LAZ,KNN,-1,-1,canberra,14.0,0.6410256410256411,30,-1.0,-1.0,3.0,23.0
 LAZ,SVM,-1,-1,linear,22.0,0.4885496183206106,40,100.0,1.0,-1.0,25.0
 LAZ,KNN,-1,-1,hamming,12.0,0.5083969465648855,40,-1.0,-1.0,11.0,29.0
 LAZ,SVM,-1,-1,linear,20.0,0.5440494590417311,50,100.0,1.0,-1.0,32.0
 LAZ,KNN,-1,-1,hamming,22.0,0.5193199381761978,50,-1.0,-1.0,11.0,34.0
 LAZ,SVM,-1,-1,linear,22.0,0.5211267605633803,60,100.0,1.0,-1.0,32.0
 LAZ,KNN,-1,-1,hamming,17.0,0.4913928012519562,60,-1.0,-1.0,3.0,44.0
 LAZ,SVM,-1,-1,linear,21.0,0.5229793977812995,70,100.0,1.0,-1.0,31.0
 LAZ,KNN,-1,-1,hamming,12.0,0.456418383518225,70,-1.0,-1.0,9.0,61.0
 LAZ,SVM,-1,-1,linear,17.0,0.5778491171749599,80,100.0,1.0,-1.0,47.0
 LAZ,KNN,-1,-1,manhattan,12.0,0.5922953451043339,80,-1.0,-1.0,9.0,55.0
 LAZ,SVM,-1,-1,linear,10.0,0.6032520325203252,90,100.0,1.0,-1.0,55.0
 LAZ,KNN,-1,-1,euclidean,10.0,0.6504065040650406,90,-1.0,-1.0,3.0,65.0
 LAZ,SVM,-1,-1,poly,23.0,0.5897858319604613,100,100.0,3.0,-1.0,63.0
 LAZ,KNN,-1,-1,braycurtis,12.0,0.6260296540362438,100,-1.0,-1.0,3.0,60.0
 IX,SVM,-1,-1,poly,23.0,0.5279241306638567,10,0.5,2.0,-1.0,8.0
 IX,KNN,-1,-1,hamming,17.0,0.482613277133825,10,-1.0,-1.0,11.0,8.0
 IX,SVM,-1,-1,poly,23.0,0.5536663124335813,20,10.0,1.0,-1.0,17.0
 IX,KNN,-1,-1,hamming,11.0,0.4463336875664187,20,-1.0,-1.0,7.0,18.0
 IX,SVM,-1,-1,linear,14.0,0.5916398713826366,30,5.0,1.0,-1.0,8.0
 IX,KNN,-1,-1,manhattan,18.0,0.5777063236870311,30,-1.0,-1.0,11.0,17.0
 IX,SVM,-1,-1,poly,23.0,0.572972972972973,40,100.0,3.0,-1.0,29.0
 IX,KNN,-1,-1,hamming,22.0,0.5135135135135135,40,-1.0,-1.0,9.0,29.0
 IX,SVM,-1,-1,linear,14.0,0.5387131952017448,50,100.0,1.0,-1.0,29.0
 IX,KNN,-1,-1,hamming,11.0,0.4656488549618321,50,-1.0,-1.0,3.0,42.0
 IX,SVM,-1,-1,linear,22.0,0.4818481848184818,60,100.0,1.0,-1.0,32.0
 IX,KNN,-1,-1,hamming,11.0,0.4917491749174918,60,-1.0,-1.0,5.0,49.0
 IX,SVM,-1,-1,linear,23.0,0.5271920088790233,70,100.0,1.0,-1.0,38.0
 IX,KNN,-1,-1,braycurtis,15.0,0.7447280799112098,70,-1.0,-1.0,5.0,54.0
 IX,SVM,-1,-1,linear,12.0,0.5431131019036954,80,100.0,1.0,-1.0,61.0
 IX,KNN,-1,-1,hamming,11.0,0.5296752519596865,80,-1.0,-1.0,7.0,53.0
 IX,SVM,-1,-1,linear,21.0,0.5288135593220339,90,10.0,1.0,-1.0,56.0
 IX,KNN,-1,-1,braycurtis,11.0,0.6700564971751413,90,-1.0,-1.0,11.0,69.0
 IX,SVM,-1,-1,poly,23.0,0.507411630558723,100,0.5,3.0,-1.0,61.0
 IX,KNN,-1,-1,hamming,19.0,0.4971493728620297,100,-1.0,-1.0,7.0,64.0
CWEN,RF,10,10,0,0.7803468208092486,10.0,10,-1.0,0.0,-1.0,4.0
