Stock,Algorithm,Estimators,Depth,Metric,No_of_features,Model_Score,Future_day,Our_test_score
 AVY,KNN,0,0,euclidean,0,0.6343381389252949,70,44
 BBF,KNN,0,0,manhattan,0,0.7473363774733638,80,41
 BBX,KNN,0,0,canberra,0,0.6318681318681318,80,56
 BBY,KNN,0,0,manhattan,0,0.6317880794701987,80,52
 AXE,KNN,0,0,chebyshev,0,0.6317880794701987,80,46
 BCE,KNN,0,0,braycurtis,0,0.6397350993377483,80,47
 AVY,KNN,0,0,canberra,0,0.7152317880794702,80,55
 BDC,KNN,0,0,hamming,0,0.5271523178807948,80,47
 BBF,KNN,0,0,euclidean,0,0.6610169491525424,90,79
 BBX,KNN,0,0,euclidean,0,0.6041666666666666,90,70
 BBY,KNN,0,0,manhattan,0,0.6358768406961178,90,69
 AXE,KNN,0,0,hamming,0,0.5448460508701473,90,57
 BCE,KNN,0,0,canberra,0,0.7175368139223561,90,23
 AVY,KNN,0,0,hamming,0,0.5756358768406962,90,47
 BDC,KNN,0,0,euclidean,0,0.6398929049531459,90,57
 BBF,KNN,0,0,euclidean,0,0.6536661466458659,100,76
 BBX,KNN,0,0,euclidean,0,0.5884831460674157,100,59
 BBY,KNN,0,0,braycurtis,0,0.6481732070365359,100,69
 AXE,KNN,0,0,hamming,0,0.4722598105548038,100,62
 BCE,KNN,0,0,manhattan,0,0.706359945872801,100,15
 AVY,KNN,0,0,euclidean,0,0.6332882273342354,100,64
 BDC,KNN,0,0,hamming,0,0.5087956698240866,100,56
 BGX,KNN,0,0,euclidean,0,0.9652173913043478,10,10
 BIP,KNN,0,0,euclidean,0,0.7430025445292621,10,10
 BFO,KNN,0,0,euclidean,0,0.9797979797979798,10,10
 BKE,KNN,0,0,euclidean,0,0.5166461159062885,10,7
 BFS,KNN,0,0,manhattan,0,0.6658446362515413,10,5
 BIG,KNN,0,0,euclidean,0,0.49815043156596794,10,10
 BHP,KNN,0,0,euclidean,0,0.5474722564734895,10,10
 BMI,KNN,0,0,manhattan,0,0.54875,10,10
 BGX,KNN,0,0,euclidean,0,0.8918918918918919,20,20
 BIP,KNN,0,0,euclidean,0,0.612987012987013,20,19
 BFO,KNN,0,0,euclidean,0,0.9419795221843004,20,20
 BGX,KNN,0,0,hamming,0,0.5046728971962616,30,18
 BFS,KNN,0,0,euclidean,0,0.5217932752179327,20,11
 BIG,KNN,0,0,canberra,0,0.6189290161892902,20,13
 BKE,KNN,0,0,braycurtis,0,0.5965130759651308,20,16
 BMI,KNN,0,0,braycurtis,0,0.5252525252525253,20,13
 BHP,KNN,0,0,euclidean,0,0.5628891656288917,20,19
 BIP,KNN,0,0,euclidean,0,0.6206896551724138,30,29
 BFO,KNN,0,0,euclidean,0,0.9117647058823529,30,30
 BGX,KNN,0,0,hamming,0,0.5242718446601942,40,14
 BIP,KNN,0,0,braycurtis,0,0.7344173441734417,40,17
 BKE,KNN,0,0,hamming,0,0.4880503144654088,30,13
 BFS,KNN,0,0,chebyshev,0,0.5069182389937107,30,25
 BIG,KNN,0,0,manhattan,0,0.6251572327044025,30,21
 BHP,KNN,0,0,manhattan,0,0.6465408805031446,30,20
 BMI,KNN,0,0,braycurtis,0,0.5956632653061225,30,22
 BGX,KNN,0,0,hamming,0,0.4292929292929293,50,37
 BFO,KNN,0,0,euclidean,0,0.8666666666666667,40,40
 BIP,KNN,0,0,euclidean,0,0.6232686980609419,50,33
 BGX,KNN,0,0,hamming,0,0.4631578947368421,60,34
 BMI,KNN,0,0,euclidean,0,0.6030927835051546,40,31
 BFS,KNN,0,0,canberra,0,0.6238881829733164,40,24
 BIG,KNN,0,0,braycurtis,0,0.6416772554002541,40,38
 BKE,KNN,0,0,braycurtis,0,0.6378653113087674,40,29
 BHP,KNN,0,0,braycurtis,0,0.6632782719186785,40,36
 BFO,KNN,0,0,manhattan,0,0.8718861209964412,50,50
 BIP,KNN,0,0,braycurtis,0,0.7677053824362606,60,24
 BGX,KNN,0,0,hamming,0,0.5054945054945055,70,35
 BFS,KNN,0,0,braycurtis,0,0.6187419768934531,50,32
 BMI,KNN,0,0,hamming,0,0.5677083333333334,50,33
 BKE,KNN,0,0,manhattan,0,0.6482670089858793,50,35
 BIG,KNN,0,0,hamming,0,0.5121951219512195,50,36
 BFO,KNN,0,0,euclidean,0,0.851985559566787,60,60
 BHP,KNN,0,0,euclidean,0,0.631578947368421,50,50
 BIP,KNN,0,0,hamming,0,0.5855072463768116,70,17
 BGX,KNN,0,0,euclidean,0,0.7586206896551724,80,53
 BFO,KNN,0,0,euclidean,0,0.8278388278388278,70,70
 BIP,KNN,0,0,euclidean,0,0.6884272997032641,80,57
 BFS,KNN,0,0,euclidean,0,0.6121919584954605,60,44
 BGX,KNN,0,0,braycurtis,0,0.8072289156626506,90,52
 BMI,KNN,0,0,canberra,0,0.6868421052631579,60,40
 BHP,KNN,0,0,braycurtis,0,0.6407263294422828,60,33
 BKE,KNN,0,0,canberra,0,0.6640726329442282,60,36
 BIG,KNN,0,0,hamming,0,0.5110246433203631,60,34
 BGX,KNN,0,0,euclidean,0,0.7341772151898734,100,68
 BIP,KNN,0,0,canberra,0,0.8297872340425532,90,52
 BFO,KNN,0,0,euclidean,0,0.8401486988847584,80,80
 BFS,KNN,0,0,chebyshev,0,0.6002621231979031,70,51
 BMI,KNN,0,0,manhattan,0,0.675531914893617,70,42
 BHP,KNN,0,0,manhattan,0,0.672346002621232,70,41
 BKE,KNN,0,0,hamming,0,0.5229357798165137,70,44
 BIG,KNN,0,0,braycurtis,0,0.6513761467889908,70,43
 BIP,KNN,0,0,hamming,0,0.5607476635514018,100,55
 BFO,KNN,0,0,euclidean,0,0.8566037735849057,90,90
 BFS,KNN,0,0,canberra,0,0.6437086092715232,80,53
 BMI,KNN,0,0,canberra,0,0.6411290322580645,80,53
 BKE,KNN,0,0,braycurtis,0,0.6675496688741722,80,60
 BHP,KNN,0,0,canberra,0,0.6927152317880795,80,53
 BIG,KNN,0,0,euclidean,0,0.5920529801324503,80,61
 BFO,KNN,0,0,euclidean,0,0.8563218390804598,100,100
 BFS,KNN,0,0,chebyshev,0,0.6171352074966533,90,83
 BMI,KNN,0,0,euclidean,0,0.6114130434782609,90,80
 BKE,KNN,0,0,euclidean,0,0.6358768406961178,90,63
 BHP,KNN,0,0,manhattan,0,0.6532797858099063,90,53
 BIG,KNN,0,0,euclidean,0,0.606425702811245,90,56
 BMY,KNN,0,0,braycurtis,0,0.689272503082614,10,6
 BMI,KNN,0,0,hamming,0,0.5659340659340659,100,55
 BFS,KNN,0,0,canberra,0,0.6968876860622463,100,65
 BKE,KNN,0,0,canberra,0,0.6589986468200271,100,69
 BHP,KNN,0,0,euclidean,0,0.6156968876860622,100,67
 BIG,KNN,0,0,euclidean,0,0.618403247631935,100,72
 BMY,KNN,0,0,euclidean,0,0.547945205479452,20,12
 BSMX,KNN,0,0,euclidean,0,0.5612903225806452,10,10
 CAPL,KNN,0,0,euclidean,0,0.6688741721854304,10,9
 BQH,KNN,0,0,manhattan,0,0.9221183800623053,10,10
 CAI,KNN,0,0,manhattan,0,0.525987525987526,10,8
 BRC,KNN,0,0,hamming,0,0.4932182490752158,10,9
 CAG,KNN,0,0,euclidean,0,0.7422934648581998,10,9
 CAH,KNN,0,0,canberra,0,0.7053020961775586,10,8
 BSMX,KNN,0,0,manhattan,0,0.6598639455782312,20,10
 CAPL,KNN,0,0,euclidean,0,0.5594405594405595,20,10
 BMY,KNN,0,0,hamming,0,0.39245283018867927,30,14
 CAI,KNN,0,0,braycurtis,0,0.6004228329809725,20,17
 BQH,KNN,0,0,euclidean,0,0.8422712933753943,20,20
 BSMX,KNN,0,0,hamming,0,0.5467625899280576,30,19
 CAPL,KNN,0,0,euclidean,0,0.6444444444444445,30,19
 BRC,KNN,0,0,euclidean,0,0.5442092154420921,20,14
 CAG,KNN,0,0,canberra,0,0.6189290161892902,20,10
 CAH,KNN,0,0,canberra,0,0.547945205479452,20,9
 BSMX,KNN,0,0,hamming,0,0.5725190839694656,40,14
 CAPL,KNN,0,0,braycurtis,0,0.6456692913385826,40,37
 CAI,KNN,0,0,manhattan,0,0.6559139784946236,30,24
 BQH,KNN,0,0,canberra,0,0.755591054313099,30,8
 BMY,KNN,0,0,manhattan,0,0.6353240152477764,40,24
 BRC,KNN,0,0,hamming,0,0.42641509433962266,30,15
 CAG,KNN,0,0,canberra,0,0.6528301886792452,30,13
 CAH,KNN,0,0,euclidean,0,0.5685534591194968,30,18
 BSMX,KNN,0,0,manhattan,0,0.7804878048780488,50,38
 CAPL,KNN,0,0,manhattan,0,0.7394957983193278,50,44
