Stock,Algorithm,Estimators,Depth,Distance_function,No_of_features,Model_Score,Future_day,C,No_of_neighbors,Our_test_score
 CWEN,KNN,0,0,-1,-1,-1,10,-1,-1,-1
 CWEN,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 CWEN,SVM,0,0,Linear,-1,-1,10,-1,-1,-1
 CWEN,ZR,0,0,0,0,6.777777777777778,10,-1,-1,10
 CWEN,KNN,0,0,-1,-1,-1,20,-1,-1,-1
 CWEN,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 CWEN,SVM,0,0,Linear,-1,-1,20,-1,-1,-1
 CWEN,ZR,0,0,0,0,7.875,20,-1,-1,0
 CWEN,KNN,0,0,-1,-1,-1,30,-1,-1,-1
 CWEN,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 CWEN,SVM,0,0,Linear,-1,-1,30,-1,-1,-1
 CWEN,ZR,0,0,0,0,12.5,30,-1,-1,0
 CWEN,KNN,0,0,-1,-1,-1,40,-1,-1,-1
 CWEN,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 CWEN,SVM,0,0,Linear,-1,-1,40,-1,-1,-1
 CWEN,ZR,0,0,0,0,12.333333333333334,40,-1,-1,9
 CWEN,KNN,0,0,-1,-1,-1,50,-1,-1,-1
 CWEN,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 CWEN,SVM,0,0,Linear,-1,-1,50,-1,-1,-1
 CWEN,ZR,0,0,0,0,5.0,50,-1,-1,29
 CWEN,KNN,0,0,-1,-1,-1,60,-1,-1,-1
 CWEN,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 CWEN,SVM,0,0,Linear,-1,-1,60,-1,-1,-1
 CWEN,ZR,0,0,0,0,4.0,60,-1,-1,29
 CWEN,KNN,0,0,-1,-1,-1,70,-1,-1,-1
 CWEN,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 CWEN,SVM,0,0,Linear,-1,-1,70,-1,-1,-1
 CWEN,ZR,0,0,0,0,9.0,70,-1,-1,68
 CWEN,KNN,0,0,-1,-1,-1,80,-1,-1,-1
 CWEN,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 CWEN,SVM,0,0,Linear,-1,-1,80,-1,-1,-1
 CWEN,ZR,0,0,0,0,-1,80,-1,-1,49
 CWEN,KNN,0,0,-1,-1,-1,90,-1,-1,-1
 CWEN,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 CWEN,SVM,0,0,Linear,-1,-1,90,-1,-1,-1
 CWEN,ZR,0,0,0,0,-1,90,-1,-1,87
 CWEN,KNN,0,0,-1,-1,-1,100,-1,-1,-1
 CWEN,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 CWEN,SVM,0,0,Linear,-1,-1,100,-1,-1,-1
 CWEN,ZR,0,0,0,0,-1,100,-1,-1,97
 AVNS,KNN,0,0,-1,-1,-1,10,-1,-1,-1
 AVNS,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 AVNS,SVM,0,0,Linear,-1,-1,10,-1,-1,-1
 AVNS,ZR,0,0,0,0,2.7777777777777777,10,-1,-1,7
 AVNS,KNN,0,0,-1,-1,-1,20,-1,-1,-1
 AVNS,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 AVNS,SVM,0,0,Linear,-1,-1,20,-1,-1,-1
 AVNS,ZR,0,0,0,0,5.888888888888889,20,-1,-1,0
 AVNS,KNN,0,0,-1,-1,-1,30,-1,-1,-1
 AVNS,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 AVNS,SVM,0,0,Linear,-1,-1,30,-1,-1,-1
 AVNS,ZR,0,0,0,0,7.4,30,-1,-1,3
 AVNS,KNN,0,0,-1,-1,-1,40,-1,-1,-1
 AVNS,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 AVNS,SVM,0,0,Linear,-1,-1,40,-1,-1,-1
 AVNS,ZR,0,0,0,0,12.666666666666666,40,-1,-1,13
 AVNS,KNN,0,0,-1,-1,-1,50,-1,-1,-1
 AVNS,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 AVNS,SVM,0,0,Linear,-1,-1,50,-1,-1,-1
 AVNS,ZR,0,0,0,0,11.0,50,-1,-1,29
 AVNS,KNN,0,0,-1,-1,-1,60,-1,-1,-1
 AVNS,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 AVNS,SVM,0,0,Linear,-1,-1,60,-1,-1,-1
 AVNS,ZR,0,0,0,0,16.0,60,-1,-1,13
 AVNS,KNN,0,0,-1,-1,-1,70,-1,-1,-1
 AVNS,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 AVNS,SVM,0,0,Linear,-1,-1,70,-1,-1,-1
 AVNS,ZR,0,0,0,0,13.0,70,-1,-1,53
 AVNS,KNN,0,0,-1,-1,-1,80,-1,-1,-1
 AVNS,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 AVNS,SVM,0,0,Linear,-1,-1,80,-1,-1,-1
 AVNS,ZR,0,0,0,0,37.0,80,-1,-1,13
 AVNS,KNN,0,0,-1,-1,-1,90,-1,-1,-1
 AVNS,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 AVNS,SVM,0,0,Linear,-1,-1,90,-1,-1,-1
 AVNS,ZR,0,0,0,0,-1,90,-1,-1,17
 AVNS,KNN,0,0,-1,-1,-1,100,-1,-1,-1
 AVNS,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 AVNS,SVM,0,0,Linear,-1,-1,100,-1,-1,-1
 AVNS,ZR,0,0,0,0,-1,100,-1,-1,25
 SMLP,KNN,0,0,-1,-1,-1,10,-1,-1,-1
 SMLP,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 SMLP,SVM,0,0,Linear,-1,-1,10,-1,-1,-1
 SMLP,ZR,0,0,0,0,2.2222222222222223,10,-1,-1,6
 SMLP,KNN,0,0,-1,-1,-1,20,-1,-1,-1
 SMLP,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 SMLP,SVM,0,0,Linear,-1,-1,20,-1,-1,-1
 SMLP,ZR,0,0,0,0,5.777777777777778,20,-1,-1,3
 SMLP,KNN,0,0,-1,-1,-1,30,-1,-1,-1
 SMLP,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 SMLP,SVM,0,0,Linear,-1,-1,30,-1,-1,-1
 SMLP,ZR,0,0,0,0,10.88888888888889,30,-1,-1,7
 SMLP,KNN,0,0,-1,-1,-1,40,-1,-1,-1
 SMLP,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 SMLP,SVM,0,0,Linear,-1,-1,40,-1,-1,-1
 SMLP,ZR,0,0,0,0,16.0,40,-1,-1,7
 SMLP,KNN,0,0,-1,-1,-1,50,-1,-1,-1
 SMLP,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 SMLP,SVM,0,0,Linear,-1,-1,50,-1,-1,-1
 SMLP,ZR,0,0,0,0,23.0,50,-1,-1,12
 SMLP,KNN,0,0,-1,-1,-1,60,-1,-1,-1
 SMLP,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 SMLP,SVM,0,0,Linear,-1,-1,60,-1,-1,-1
 SMLP,ZR,0,0,0,0,25.333333333333332,60,-1,-1,7
 SMLP,KNN,0,0,-1,-1,-1,70,-1,-1,-1
 SMLP,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 SMLP,SVM,0,0,Linear,-1,-1,70,-1,-1,-1
 SMLP,ZR,0,0,0,0,26.0,70,-1,-1,41
 SMLP,KNN,0,0,-1,-1,-1,80,-1,-1,-1
 SMLP,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 SMLP,SVM,0,0,Linear,-1,-1,80,-1,-1,-1
 SMLP,ZR,0,0,0,0,31.5,80,-1,-1,38
 SMLP,KNN,0,0,-1,-1,-1,90,-1,-1,-1
 SMLP,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 SMLP,SVM,0,0,Linear,-1,-1,90,-1,-1,-1
 SMLP,ZR,0,0,0,0,41.5,90,-1,-1,32
 SMLP,KNN,0,0,-1,-1,-1,100,-1,-1,-1
 SMLP,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 SMLP,SVM,0,0,Linear,-1,-1,100,-1,-1,-1
 SMLP,ZR,0,0,0,0,45.0,100,-1,-1,41
 MN,KNN,0,0,-1,-1,-1,10,-1,-1,-1
 MN,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 MN,SVM,0,0,Linear,-1,-1,10,-1,-1,-1
 MN,ZR,0,0,0,0,3.111111111111111,10,-1,-1,0
 MN,KNN,0,0,-1,-1,-1,20,-1,-1,-1
 MN,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 MN,SVM,0,0,Linear,-1,-1,20,-1,-1,-1
 MN,ZR,0,0,0,0,10.444444444444445,20,-1,-1,4
 MN,KNN,0,0,-1,-1,-1,30,-1,-1,-1
 MN,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 MN,SVM,0,0,Linear,-1,-1,30,-1,-1,-1
 MN,ZR,0,0,0,0,13.88888888888889,30,-1,-1,14
 MN,KNN,0,0,-1,-1,-1,40,-1,-1,-1
 MN,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 MN,SVM,0,0,Linear,-1,-1,40,-1,-1,-1
 MN,ZR,0,0,0,0,12.428571428571429,40,-1,-1,21
 MN,KNN,0,0,-1,-1,-1,50,-1,-1,-1
 MN,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 MN,SVM,0,0,Linear,-1,-1,50,-1,-1,-1
 MN,ZR,0,0,0,0,19.2,50,-1,-1,21
 MN,KNN,0,0,-1,-1,-1,60,-1,-1,-1
 MN,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 MN,SVM,0,0,Linear,-1,-1,60,-1,-1,-1
 MN,ZR,0,0,0,0,28.75,60,-1,-1,23
 MN,KNN,0,0,-1,-1,-1,70,-1,-1,-1
 MN,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 MN,SVM,0,0,Linear,-1,-1,70,-1,-1,-1
 MN,ZR,0,0,0,0,31.0,70,-1,-1,23
 MN,KNN,0,0,-1,-1,-1,80,-1,-1,-1
 MN,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 MN,SVM,0,0,Linear,-1,-1,80,-1,-1,-1
 MN,ZR,0,0,0,0,37.666666666666664,80,-1,-1,32
 MN,KNN,0,0,-1,-1,-1,90,-1,-1,-1
 MN,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 MN,SVM,0,0,Linear,-1,-1,90,-1,-1,-1
 MN,ZR,0,0,0,0,41.5,90,-1,-1,31
 MN,KNN,0,0,-1,-1,-1,100,-1,-1,-1
 MN,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 MN,SVM,0,0,Linear,-1,-1,100,-1,-1,-1
 MN,ZR,0,0,0,0,47.0,100,-1,-1,25
 INXN,KNN,0,0,-1,-1,-1,10,-1,-1,-1
 INXN,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 INXN,SVM,0,0,Linear,-1,-1,10,-1,-1,-1
 INXN,ZR,0,0,0,0,8.222222222222221,10,-1,-1,9
 INXN,KNN,0,0,-1,-1,-1,20,-1,-1,-1
 INXN,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 INXN,SVM,0,0,Linear,-1,-1,20,-1,-1,-1
 INXN,ZR,0,0,0,0,9.11111111111111,20,-1,-1,9
 INXN,KNN,0,0,-1,-1,-1,30,-1,-1,-1
 INXN,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 INXN,SVM,0,0,Linear,-1,-1,30,-1,-1,-1
 INXN,ZR,0,0,0,0,14.333333333333334,30,-1,-1,27
 INXN,KNN,0,0,-1,-1,-1,40,-1,-1,-1
 INXN,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 INXN,SVM,0,0,Linear,-1,-1,40,-1,-1,-1
 INXN,ZR,0,0,0,0,22.0,40,-1,-1,33
 INXN,KNN,0,0,-1,-1,-1,50,-1,-1,-1
 INXN,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 INXN,SVM,0,0,Linear,-1,-1,50,-1,-1,-1
 INXN,ZR,0,0,0,0,28.833333333333332,50,-1,-1,48
 INXN,KNN,0,0,-1,-1,-1,60,-1,-1,-1
 INXN,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 INXN,SVM,0,0,Linear,-1,-1,60,-1,-1,-1
 INXN,ZR,0,0,0,0,34.6,60,-1,-1,60
 INXN,KNN,0,0,-1,-1,-1,70,-1,-1,-1
 INXN,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 INXN,SVM,0,0,Linear,-1,-1,70,-1,-1,-1
 INXN,ZR,0,0,0,0,45.75,70,-1,-1,70
 INXN,KNN,0,0,-1,-1,-1,80,-1,-1,-1
 INXN,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 INXN,SVM,0,0,Linear,-1,-1,80,-1,-1,-1
 INXN,ZR,0,0,0,0,54.666666666666664,80,-1,-1,80
 INXN,KNN,0,0,-1,-1,-1,90,-1,-1,-1
 INXN,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 INXN,SVM,0,0,Linear,-1,-1,90,-1,-1,-1
 INXN,ZR,0,0,0,0,62.0,90,-1,-1,88
 INXN,KNN,0,0,-1,-1,-1,100,-1,-1,-1
 INXN,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 INXN,SVM,0,0,Linear,-1,-1,100,-1,-1,-1
 INXN,ZR,0,0,0,0,73.5,100,-1,-1,100
 AGRO,KNN,0,0,-1,-1,-1,10,-1,-1,-1
 AGRO,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 AGRO,SVM,0,0,Linear,-1,-1,10,-1,-1,-1
 AGRO,ZR,0,0,0,0,6.555555555555555,10,-1,-1,4
 AGRO,KNN,0,0,-1,-1,-1,20,-1,-1,-1
 AGRO,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
